epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,53956.6,0.69666,0.81438,1.09573,0.78196,0.71878,0.77451,0.63809,0.72711,0.78862,1.0486,0.000787503,0.000787503,0.000787503
94,54535.3,0.69784,0.81637,1.09392,0.78404,0.7172,0.77509,0.63884,0.72624,0.78679,1.0475,0.000783231,0.000783231,0.000783231
95,55113.7,0.69384,0.81817,1.09444,0.78395,0.71818,0.77567,0.63932,0.72528,0.78606,1.04614,0.000778929,0.000778929,0.000778929
96,55691.3,0.69278,0.81151,1.09247,0.78527,0.71854,0.77611,0.63979,0.72491,0.78468,1.04523,0.000774596,0.000774596,0.000774596
97,56278.7,0.69947,0.81539,1.09291,0.78383,0.71925,0.77638,0.64042,0.72526,0.78358,1.04472,0.000770234,0.000770234,0.000770234
98,56858.1,0.69637,0.80588,1.09111,0.78624,0.71863,0.77672,0.64094,0.72591,0.78322,1.04503,0.000765843,0.000765843,0.000765843
99,57434.3,0.68949,0.81087,1.08787,0.78194,0.72065,0.77696,0.64149,0.72671,0.78317,1.04506,0.000761423,0.000761423,0.000761423
100,58010.9,0.69113,0.80634,1.09043,0.78242,0.72119,0.7774,0.64184,0.72821,0.78313,1.04612,0.000756976,0.000756976,0.000756976
101,58591.3,0.69038,0.80128,1.08841,0.78135,0.72144,0.77793,0.64248,0.72889,0.7823,1.04664,0.0007525,0.0007525,0.0007525
102,59174.7,0.69311,0.80386,1.08827,0.78007,0.72291,0.7782,0.64286,0.73084,0.78323,1.04786,0.000747997,0.000747997,0.000747997
103,59761.4,0.69169,0.80156,1.08791,0.77974,0.72435,0.77888,0.64335,0.7324,0.78246,1.04971,0.000743468,0.000743468,0.000743468
104,60338.7,0.69264,0.8008,1.08775,0.78268,0.72304,0.77924,0.64349,0.73191,0.7821,1.04798,0.000738913,0.000738913,0.000738913
105,60915.5,0.6885,0.79167,1.08558,0.783,0.72348,0.77952,0.64385,0.7325,0.78119,1.04755,0.000734332,0.000734332,0.000734332
106,61552.3,0.68966,0.79413,1.08599,0.78393,0.72303,0.7797,0.64441,0.73266,0.78063,1.04719,0.000729725,0.000729725,0.000729725
107,62263.3,0.68031,0.78344,1.08375,0.78348,0.72402,0.77998,0.64489,0.73287,0.78027,1.04696,0.000725094,0.000725094,0.000725094
108,62991.8,0.68725,0.78867,1.08492,0.78648,0.72175,0.77959,0.64464,0.73271,0.77904,1.04654,0.000720439,0.000720439,0.000720439
109,63746.5,0.68673,0.78616,1.08424,0.78586,0.72228,0.77983,0.64493,0.73209,0.77805,1.0455,0.000715761,0.000715761,0.000715761
110,64514,0.68133,0.7868,1.082,0.78614,0.7239,0.77969,0.64504,0.73163,0.77669,1.04441,0.000711059,0.000711059,0.000711059
111,65303.7,0.67961,0.77866,1.07822,0.78547,0.72508,0.7799,0.64503,0.73105,0.77553,1.04369,0.000706335,0.000706335,0.000706335
112,66094.1,0.67817,0.77715,1.07948,0.78572,0.72612,0.7801,0.64515,0.7304,0.77423,1.04295,0.000701588,0.000701588,0.000701588
113,66886.7,0.68182,0.78154,1.08198,0.78781,0.7246,0.78015,0.64547,0.72914,0.77315,1.04137,0.00069682,0.00069682,0.00069682
114,67681.6,0.67806,0.77968,1.08072,0.7886,0.72398,0.78041,0.64555,0.72834,0.77187,1.04054,0.000692031,0.000692031,0.000692031
115,68474.9,0.67811,0.77327,1.08123,0.78843,0.7235,0.78068,0.64577,0.72774,0.7709,1.03995,0.000687222,0.000687222,0.000687222
116,69267.6,0.67482,0.77475,1.07888,0.78777,0.7237,0.7805,0.6456,0.72771,0.76974,1.03978,0.000682392,0.000682392,0.000682392
117,70061.6,0.67549,0.77318,1.07688,0.78682,0.7256,0.78061,0.64591,0.72758,0.76927,1.03981,0.000677543,0.000677543,0.000677543
118,70851.1,0.6681,0.76452,1.07117,0.78484,0.72625,0.78057,0.64627,0.72708,0.76915,1.03896,0.000672675,0.000672675,0.000672675
119,71645.2,0.67039,0.7638,1.07672,0.78478,0.72583,0.78072,0.6462,0.72665,0.76822,1.038,0.000667789,0.000667789,0.000667789
120,72437.4,0.67231,0.76931,1.077,0.78348,0.72785,0.78076,0.64645,0.727,0.76801,1.03832,0.000662885,0.000662885,0.000662885
121,73230.2,0.66926,0.76244,1.0737,0.78558,0.72751,0.78105,0.64688,0.72658,0.76695,1.03717,0.000657963,0.000657963,0.000657963
122,74022.5,0.66698,0.76133,1.07195,0.78662,0.72691,0.78127,0.64703,0.72684,0.76678,1.0369,0.000653025,0.000653025,0.000653025
123,74815.2,0.66444,0.76095,1.07187,0.78729,0.7258,0.78126,0.64721,0.72672,0.76586,1.03676,0.000648071,0.000648071,0.000648071
124,75609.5,0.66714,0.75992,1.0749,0.78703,0.72647,0.78119,0.6469,0.72639,0.76541,1.0361,0.000643101,0.000643101,0.000643101
125,76402.6,0.664,0.75679,1.06997,0.78495,0.72752,0.78137,0.64712,0.72707,0.76475,1.03638,0.000638115,0.000638115,0.000638115
126,77194.1,0.66275,0.75003,1.06738,0.78799,0.72623,0.78169,0.64701,0.72756,0.7645,1.03667,0.000633115,0.000633115,0.000633115
127,77990.5,0.66299,0.75326,1.0706,0.79297,0.722,0.78172,0.64744,0.72756,0.76421,1.03611,0.000628101,0.000628101,0.000628101
128,78785.2,0.65849,0.74573,1.06663,0.79045,0.72421,0.78151,0.64735,0.72748,0.76371,1.03574,0.000623074,0.000623074,0.000623074
129,79581.5,0.66023,0.74867,1.06825,0.78742,0.72659,0.78171,0.64768,0.72696,0.76302,1.03519,0.000618034,0.000618034,0.000618034
130,80374.4,0.65571,0.74446,1.06833,0.79089,0.72485,0.78179,0.64749,0.72714,0.76232,1.03518,0.000612981,0.000612981,0.000612981
131,81163.5,0.66053,0.74613,1.06713,0.78802,0.72719,0.78189,0.64779,0.7265,0.76212,1.03405,0.000607916,0.000607916,0.000607916
132,81961.2,0.65644,0.73936,1.06455,0.78906,0.72679,0.78202,0.64795,0.72643,0.76131,1.03399,0.00060284,0.00060284,0.00060284
133,82748.4,0.65635,0.74204,1.06432,0.791,0.72511,0.78205,0.64814,0.72586,0.76063,1.03345,0.000597754,0.000597754,0.000597754
134,83538.5,0.65144,0.73887,1.06331,0.79096,0.7249,0.78191,0.64815,0.72587,0.76026,1.03369,0.000592657,0.000592657,0.000592657
135,84274.2,0.65288,0.74067,1.06528,0.78533,0.7282,0.78194,0.64809,0.72579,0.75968,1.03357,0.000587551,0.000587551,0.000587551
136,85008.3,0.65751,0.73706,1.0652,0.78562,0.72823,0.78201,0.64814,0.72543,0.75853,1.03358,0.000582435,0.000582435,0.000582435
137,85764.4,0.65349,0.73336,1.06557,0.78874,0.72592,0.78243,0.64823,0.72467,0.75787,1.03229,0.000577311,0.000577311,0.000577311
138,86516.3,0.65428,0.73356,1.06356,0.78621,0.72823,0.78258,0.64828,0.72413,0.75703,1.03155,0.000572179,0.000572179,0.000572179
139,87230.9,0.65115,0.7313,1.06145,0.78534,0.7286,0.78244,0.64828,0.72398,0.75623,1.03116,0.00056704,0.00056704,0.00056704
140,87796.9,0.64639,0.72484,1.05946,0.7864,0.72777,0.78256,0.64861,0.72314,0.756,1.0301,0.000561894,0.000561894,0.000561894
141,88375.1,0.64859,0.73,1.06056,0.78772,0.72677,0.78256,0.64865,0.72286,0.75532,1.0294,0.000556742,0.000556742,0.000556742
142,88951,0.64843,0.72369,1.06091,0.78578,0.72815,0.7827,0.64892,0.72299,0.75502,1.02941,0.000551584,0.000551584,0.000551584
143,89528.1,0.64706,0.72253,1.06037,0.78842,0.72753,0.78278,0.64905,0.72356,0.75528,1.02966,0.000546421,0.000546421,0.000546421
144,90104.1,0.64733,0.72244,1.05797,0.78835,0.72733,0.78283,0.64927,0.72364,0.75588,1.02934,0.000541253,0.000541253,0.000541253
145,90682.5,0.64893,0.72141,1.0591,0.7876,0.72775,0.78276,0.64913,0.72427,0.75625,1.03017,0.000536081,0.000536081,0.000536081
146,91259.7,0.64382,0.71591,1.0576,0.79086,0.7251,0.7828,0.64917,0.72416,0.75627,1.02972,0.000530906,0.000530906,0.000530906
147,91842.8,0.64588,0.72046,1.05619,0.79231,0.72661,0.78284,0.64923,0.72472,0.75662,1.02972,0.000525728,0.000525728,0.000525728
148,92422.5,0.6389,0.71343,1.05642,0.79559,0.72439,0.78269,0.64929,0.72454,0.7564,1.02912,0.000520548,0.000520548,0.000520548
149,92998.8,0.64007,0.71622,1.0537,0.79347,0.72504,0.78281,0.64915,0.72475,0.75643,1.02911,0.000515366,0.000515366,0.000515366
150,93575.8,0.63882,0.71018,1.05507,0.79244,0.72551,0.78298,0.64919,0.72518,0.75661,1.02954,0.000510184,0.000510184,0.000510184
151,94153.4,0.64253,0.7152,1.05648,0.79343,0.72485,0.78303,0.64915,0.72526,0.75584,1.02943,0.000505,0.000505,0.000505
152,94731.6,0.64357,0.7159,1.05533,0.79568,0.72371,0.78315,0.64921,0.72497,0.7564,1.02909,0.000499816,0.000499816,0.000499816
153,95307.2,0.63794,0.70758,1.05259,0.79498,0.72474,0.78314,0.64938,0.72474,0.75566,1.02883,0.000494634,0.000494634,0.000494634
154,95882.4,0.64025,0.7061,1.05231,0.79483,0.72394,0.78259,0.64904,0.72501,0.75474,1.02978,0.000489452,0.000489452,0.000489452
155,96455.3,0.6447,0.71433,1.05621,0.79047,0.72702,0.78301,0.64939,0.72479,0.75432,1.02928,0.000484272,0.000484272,0.000484272
